scenario,description,delay_steps,time_step,initial_density_population,g_oct_stiffness,dephasing_gamma,numerical_tolerance,topology,geometry_scale,final_rho,final_distortion,peak_distortion,mean_distortion,peak_effective_source,mean_abs_source_gap,null_test_passed
baseline,Reference quantum delayed-memory configuration.,0,0.1,1.0,3.5,0.05,1e-09,octa,1.0,0.09652198484575852,0.1876994492927646,0.1876994492927646,0.18513287736549738,1.05,0.0,True
baseline,Reference quantum delayed-memory configuration.,1,0.1,1.0,3.5,0.05,1e-09,octa,1.0,0.09652198484575852,0.1876994492927646,0.1876994492927646,0.18513287736549738,1.05,0.0,True
baseline,Reference quantum delayed-memory configuration.,2,0.1,1.0,3.5,0.05,1e-09,octa,1.0,0.09619377366819486,0.18769895685524593,0.18769895685524593,0.18449125659110033,1.05,0.17497515323890847,True
baseline,Reference quantum delayed-memory configuration.,5,0.1,1.0,3.5,0.05,1e-09,octa,1.0,0.09595612129907048,0.18754716069835606,0.18754716069835606,0.18256947475972055,1.05,0.5534384727939602,True
time_step_low,Halved integration time step.,0,0.05,1.0,3.5,0.05,1e-09,octa,1.0,0.024759251104265204,0.1838863657930199,0.1838863657930199,0.18258734846039976,1.05,0.0,True
time_step_low,Halved integration time step.,1,0.05,1.0,3.5,0.05,1e-09,octa,1.0,0.024759251104265204,0.1838863657930199,0.1838863657930199,0.18258734846039976,1.05,0.0,True
time_step_low,Halved integration time step.,2,0.05,1.0,3.5,0.05,1e-09,octa,1.0,0.024717482989204217,0.18388611389005266,0.18388611389005266,0.18226348464431477,1.05,0.17497515323890847,True
time_step_low,Halved integration time step.,5,0.05,1.0,3.5,0.05,1e-09,octa,1.0,0.024687488596374603,0.1838084932921693,0.1838084932921693,0.1812934688870925,1.05,0.5534384727939602,True
time_step_high,Doubled integration time step.,0,0.2,1.0,3.5,0.05,1e-09,octa,1.0,0.34373805945216024,0.1951102748380386,0.1951102748380386,0.1901007981381907,1.05,0.0,True
time_step_high,Doubled integration time step.,1,0.2,1.0,3.5,0.05,1e-09,octa,1.0,0.34373805945216024,0.1951102748380386,0.1951102748380386,0.1901007981381907,1.05,0.0,True
time_step_high,Doubled integration time step.,2,0.2,1.0,3.5,0.05,1e-09,octa,1.0,0.34128581826360677,0.19510933415273116,0.19510933415273116,0.18884160856835414,1.05,0.17497515323890847,True
time_step_high,Doubled integration time step.,5,0.2,1.0,3.5,0.05,1e-09,octa,1.0,0.3394529577986245,0.19481914173334003,0.19481914173334003,0.18506992525338192,1.05,0.5534384727939602,True
initial_population_low,Lower initial matter-state population in the visible basis state.,0,0.1,0.25,3.5,0.05,1e-09,octa,1.0,-0.04826099242287926,0.1876994492927646,0.1876994492927646,0.18513287736549738,1.05,0.0,True
initial_population_low,Lower initial matter-state population in the visible basis state.,1,0.1,0.25,3.5,0.05,1e-09,octa,1.0,-0.04826099242287926,0.1876994492927646,0.1876994492927646,0.18513287736549738,1.05,0.0,True
initial_population_low,Lower initial matter-state population in the visible basis state.,2,0.1,0.25,3.5,0.05,1e-09,octa,1.0,-0.04809688683409741,0.18769895685524593,0.18769895685524593,0.18449125659110033,1.05,0.17497515323890847,True
initial_population_low,Lower initial matter-state population in the visible basis state.,5,0.1,0.25,3.5,0.05,1e-09,octa,1.0,-0.047978060649535234,0.18754716069835606,0.18754716069835606,0.18256947475972055,1.05,0.5534384727939602,True
initial_population_mid,Mixed initial matter-state population in the visible basis state.,0,0.1,0.5,3.5,0.05,1e-09,octa,1.0,0.0,0.1876994492927646,0.1876994492927646,0.18513287736549738,1.05,0.0,True
initial_population_mid,Mixed initial matter-state population in the visible basis state.,1,0.1,0.5,3.5,0.05,1e-09,octa,1.0,0.0,0.1876994492927646,0.1876994492927646,0.18513287736549738,1.05,0.0,True
initial_population_mid,Mixed initial matter-state population in the visible basis state.,2,0.1,0.5,3.5,0.05,1e-09,octa,1.0,0.0,0.18769895685524593,0.18769895685524593,0.18449125659110033,1.05,0.17497515323890847,True
initial_population_mid,Mixed initial matter-state population in the visible basis state.,5,0.1,0.5,3.5,0.05,1e-09,octa,1.0,0.0,0.18754716069835606,0.18754716069835606,0.18256947475972055,1.05,0.5534384727939602,True
feedback_low,Reduced backreaction stiffness.,0,0.1,1.0,1.5,0.05,1e-09,octa,1.0,0.09652198484554282,0.187699449289887,0.187699449289887,0.1851328773635737,0.44999999999999996,0.0,True
feedback_low,Reduced backreaction stiffness.,1,0.1,1.0,1.5,0.05,1e-09,octa,1.0,0.09652198484554282,0.187699449289887,0.187699449289887,0.1851328773635737,0.44999999999999996,0.0,True
feedback_low,Reduced backreaction stiffness.,2,0.1,1.0,1.5,0.05,1e-09,octa,1.0,0.09619377366810343,0.18769895685236854,0.18769895685236854,0.18449125658941645,0.44999999999999996,0.07498935138810363,True
feedback_low,Reduced backreaction stiffness.,5,0.1,1.0,1.5,0.05,1e-09,octa,1.0,0.09595612129906937,0.18754716069553387,0.18754716069553387,0.18256947475875493,0.44999999999999996,0.23718791691169724,True
feedback_high,Increased backreaction stiffness.,0,0.1,1.0,4.5,0.05,1e-09,octa,1.0,0.09652198484579451,0.1876994492932441,0.1876994492932441,0.18513287736581796,1.3499999999999999,0.0,True
feedback_high,Increased backreaction stiffness.,1,0.1,1.0,4.5,0.05,1e-09,octa,1.0,0.09652198484579451,0.1876994492932441,0.1876994492932441,0.18513287736581796,1.3499999999999999,0.0,True
feedback_high,Increased backreaction stiffness.,2,0.1,1.0,4.5,0.05,1e-09,octa,1.0,0.0961937736682101,0.18769895685572546,0.18769895685572546,0.18449125659138094,1.3499999999999999,0.22496805416431087,True
feedback_high,Increased backreaction stiffness.,5,0.1,1.0,4.5,0.05,1e-09,octa,1.0,0.09595612129907063,0.18754716069882638,0.18754716069882638,0.18256947475988144,1.3499999999999999,0.7115637507350917,True
dephasing_low,No dephasing channel.,0,0.1,1.0,3.5,0.0,1e-09,octa,1.0,0.09652198484575852,0.1876994492927646,0.1876994492927646,0.18513287736549738,1.05,0.0,True
dephasing_low,No dephasing channel.,1,0.1,1.0,3.5,0.0,1e-09,octa,1.0,0.09652198484575852,0.1876994492927646,0.1876994492927646,0.18513287736549738,1.05,0.0,True
dephasing_low,No dephasing channel.,2,0.1,1.0,3.5,0.0,1e-09,octa,1.0,0.09619377366819486,0.18769895685524593,0.18769895685524593,0.18449125659110033,1.05,0.17497515323890847,True
dephasing_low,No dephasing channel.,5,0.1,1.0,3.5,0.0,1e-09,octa,1.0,0.09595612129907048,0.18754716069835606,0.18754716069835606,0.18256947475972055,1.05,0.5534384727939602,True
dephasing_high,Enhanced dephasing channel.,0,0.1,1.0,3.5,0.15,1e-09,octa,1.0,0.09652198484575852,0.1876994492927646,0.1876994492927646,0.18513287736549738,1.05,0.0,True
dephasing_high,Enhanced dephasing channel.,1,0.1,1.0,3.5,0.15,1e-09,octa,1.0,0.09652198484575852,0.1876994492927646,0.1876994492927646,0.18513287736549738,1.05,0.0,True
dephasing_high,Enhanced dephasing channel.,2,0.1,1.0,3.5,0.15,1e-09,octa,1.0,0.09619377366819486,0.18769895685524593,0.18769895685524593,0.18449125659110033,1.05,0.17497515323890847,True
dephasing_high,Enhanced dephasing channel.,5,0.1,1.0,3.5,0.15,1e-09,octa,1.0,0.09595612129907048,0.18754716069835606,0.18754716069835606,0.18256947475972055,1.05,0.5534384727939602,True
tolerance_loose,Looser numerical tolerance.,0,0.1,1.0,3.5,0.05,1e-06,octa,1.0,0.09652198468415261,0.18769944713674047,0.18769944713674047,0.1851328759241899,1.05,0.0,True
